"source","target","weight","description","text_unit_ids","id","human_readable_id","source_degree","target_degree","rank"
"DONKEYS","HORSES",1.0,"Donkeys and horses are distinct species that cannot produce fertile offspring.",['ea1005e7521d78327d39be6bb78a563d'],"36084a9fab53433493f079e97e68bf65","19",1,1,2
"BULLDOGS","SPANIELS",1.0,"Bulldogs and spaniels are species that can interbreed and share the same DNA pool.",['ea1005e7521d78327d39be6bb78a563d'],"eebcc7ec8e3e4df7aea83659bbdc2199","20",1,1,2
"LIONS","TIGERS",1.0,"""Lions and tigers are species within the same genus, Panthera.""",['ea1005e7521d78327d39be6bb78a563d'],"ceadf262ef834e9ab146b20650912cae","21",3,1,4
"LIONS","LEOPARDS",1.0,"""Lions and leopards are species within the same genus, Panthera.""",['ea1005e7521d78327d39be6bb78a563d'],"7f65feab75424b53b24470d305ba331a","22",3,1,4
"LIONS","JAGUARS",1.0,"""Lions and jaguars are species within the same genus, Panthera.""",['ea1005e7521d78327d39be6bb78a563d'],"fd9cb733b28d420cb5cef01e545a132c","23",3,1,4
"LEO","PANTHERA",1.0,"""Leo is a member of the genus Panthera, which includes lions, leopards, jaguars, and tigers.""",['65e2981c6c6a6b1cddbdde3166ad329b'],"0fbcca3f17c649a08aea64b5a7d9ef36","24",1,1,2
"CATS","FELINES",1.0,"""Cats is a family that includes all feline species, such as lions, cheetahs, and house cats.""",['65e2981c6c6a6b1cddbdde3166ad329b'],"482027a59f32484c9c44fd700615c1b6","25",1,1,2
"GREAT APES","CHIMPANZEES",1.0,"""The great apes include chimpanzees, indicating their close evolutionary relationship.""",['8bd4c7f5f1ddf7c6d91f4bae802bd4ba'],"de837ff3d626451282ff6ac77a82216d","26",4,3,7
"GREAT APES","GORILLAS",1.0,"""The great apes include gorillas, indicating their close evolutionary relationship.""",['8bd4c7f5f1ddf7c6d91f4bae802bd4ba'],"460295fed3ae4cd39f9f274cec9c2506","27",4,1,5
"GREAT APES","ORANG-UTANS",1.0,"""The great apes include orang-utans, indicating their close evolutionary relationship.""",['8bd4c7f5f1ddf7c6d91f4bae802bd4ba'],"553b285bba60460ab1ed8341ae61282b","28",4,1,5
"CHIMPANZEES","SINGLE FEMALE APE",1.0,"The single female ape is the direct ancestor of chimpanzees.",['8bd4c7f5f1ddf7c6d91f4bae802bd4ba'],"cec95bf17e7e4c939b56c9c6f402a29f","29",3,2,5
"INDONESIA","HOMO SOLOENSIS",1.0,"Indonesia's steaming jungles influenced the evolution of Homo soloensis.",['c97ef3a4adea86ede4938c80d59abb94'],"599164aead034bc19446efacc77554d2","30",1,2,3
"NORTHERN EUROPE","HOMO NEANDERTHALENSIS",1.0,"Northern Europe's snowy forests influenced the evolution of Neanderthals.",['c97ef3a4adea86ede4938c80d59abb94'],"bbf148ae4d48422f8fdef754cfa2b9e4","31",1,2,3
"HOMO RUDOLFENSIS","HOMO ERECTUS",1.0,"Homo rudolfensis and Homo erectus are both human species that evolved in different regions.",['c97ef3a4adea86ede4938c80d59abb94'],"de61b2670999433f807a6a1dc2b81e43","32",2,3,5
"HOMO ERECTUS","HOMO NEANDERTHALENSIS",1.0,"Homo neanderthalensis and Homo erectus are both human species that evolved in different regions.",['c97ef3a4adea86ede4938c80d59abb94'],"3e95dacfe57b4d57b5da4310ef2e157f","33",3,2,5
"HOMO SOLOENSIS","JAVA",1.0,"Homo soloensis lived on the island of Java.",['3bb28165d90d7db5f19e2208ec0a8b34'],"1f1545308e9347af91fd03b94aadc21f","34",2,1,3
"FLORES","HOMO FLORESIENSIS",1.0,"Homo floresiensis underwent a process of dwarfing on the island of Flores.",['3bb28165d90d7db5f19e2208ec0a8b34'],"6ea81acaf232485e94fff638e03336e1","35",2,1,3
"FLORES","HOMO ORESIENSIS",1.0,"""Flores is the island where Homo oresiensis, a unique species of dwarf humans, evolved.""",['feccd5ea2e791c74245cd72130cc8a97'],"d136b08d586d488f9e4188b524c85a29","36",2,1,3
"HOMO DENISOVA","DENISOVA CAVE",1.0,"""Denisova Cave is the location where a fossilised finger bone of Homo denisova, a previously unknown human species, was discovered.""",['feccd5ea2e791c74245cd72130cc8a97'],"cccfa151fedc4b218a8d96adc7dceabe","37",1,1,2
"HUMAN SPECIES","EARLY MEN AND WOMEN",1.0,"Human Species includes Early Men and Women as one of its types.",['56e787cf8c963ad40eb29fe7c1542377'],"ce54725672a74ebcabe6127577dacb2b","38",3,2,5
"HUMAN SPECIES","MODERN SAPIENS",1.0,"Human Species includes Modern Sapiens as one of its types.",['56e787cf8c963ad40eb29fe7c1542377'],"ea2b28ca1a974ffab4517811dc1d1e5c","39",3,2,5
"HUMAN SPECIES","NEANDERTHAL",1.0,"Human Species includes Neanderthal as one of its types.",['56e787cf8c963ad40eb29fe7c1542377'],"aff21f1da1654e7babdcf3fb0e4a75fc","40",3,2,5
"EARLY MEN AND WOMEN","BRAIN SIZE",1.0,"Brain Size is a characteristic of Early Men and Women.",['56e787cf8c963ad40eb29fe7c1542377'],"dc2cc9016e3f49dbac7232f05cce794d","41",2,3,5
"MODERN SAPIENS","BRAIN SIZE",1.0,"Brain Size is a characteristic of Modern Sapiens.",['56e787cf8c963ad40eb29fe7c1542377'],"6ea0cef05f694dcea455478f40674e45","42",2,3,5
"NEANDERTHAL","BRAIN SIZE",1.0,"Brain Size is a characteristic of Neanderthal.",['56e787cf8c963ad40eb29fe7c1542377'],"7ab5d53a872f4dfc98f3d386879f3c75","43",2,3,5
"THE BRAIN","ARCHAIC HUMANS",1.0,"""Archaic humans had larger brains that required more energy, leading to increased time spent searching for food and muscle atrophy.""",['0f4f44a0eb6ff6da95c8f12946faff91'],"af1d0fec22114a3398b8016f5225f9ed","44",2,1,3
